id,latitude,longitude,address
21740,,,"Calle del Talco, 68, San Andrés, Madrid"
21739,,,"Calle Pedro Jiménez, San Andrés, Madrid"
21737,,,"geologia, San Andrés, Madrid"
21736,,,"Avenida Real de Pinto, San Andrés, Madrid"
21732,,,"De la Plata - Villaverde, San Andrés, Madrid"
21728,,,"Calle GODELLA, San Cristóbal, Madrid"
21718,,,"Calle de las Islas, San Andrés, Madrid"
21717,,,"Calle de Parvillas Bajas, San Andrés, Madrid"
21716,,,"COBALTO s/n, San Andrés, Madrid"
21713,,,"Paseo de Alberto Palacios, San Andrés, Madrid"
21712,,,"Calle Laguna del Marquesado, San Andrés, Madrid"
21707,,,"San Neviano - Villaverde, San Andrés, Madrid"
21694,,,"Calle la del Soto del Parral, 59, Los Ángeles, Madrid"
21663,,,"Calle Parvillas Altas s/n, San Andrés, Madrid"
21657,,,"Calle Emilia Ballester, Madrid, 15, San Andrés, Madrid"
21648,,,"Calle de Tordegrillos, San Andrés, Madrid"
21646,,,"Paseo Alberto Palacios, 35, San Andrés, Madrid"
21645,,,"Calle Doctor Pérez Domínguez, 2, San Andrés, Madrid"
21643,,,"Calle de los Cacereños, San Andrés, Madrid"
21640,,,"Calle Transversal Sexta, San Andrés, Madrid"
21636,,,"Calle Gómez Acebo, San Andrés, Madrid"
21635,,,"Calle Pilar Lorengar, Los Rosales, Madrid"
21634,,,"Calle Salsipuedes, San Andrés, Madrid"
21626,,,"Calle de las Viñas del Rio, 16, Butarque, Madrid"
21613,,,"Calle de Sáhara, Los Rosales, Madrid"
21612,,,"Calle Alcocer, 39, Los Ángeles, Madrid"
21611,,,"Calle Nuestra Señora de Begoña s/n, San Andrés, Madrid"
21603,,,"Paseo de Alberto Palacios, Madrid, 86, San Andrés, Madrid"
21598,,,"Calle Emilia Ballester, San Andrés, Madrid"
21597,,,"Calle La Pícara Molinera esquina C/ El Caserío s/n, Los Ángeles, Madrid"
21592,,,"Calle María de Echarri, 11, Los Rosales, Madrid"
21591,,,"Calle San Jenaro esquina Calle Alcocer, 1, San Andrés, Madrid"
21580,,,"Calle Lenguas, San Andrés, Madrid"
21579,,,"Calle Huerta de villaverde, San Andrés, Madrid"
21578,,,"Plaza de Gómez Acebo, San Andrés, Madrid"
21572,,,"Calle Lenguas, 18 B, San Andrés, Madrid"
21558,,,"Calle tordegrillos, San Andrés, Madrid"
21556,,,"Calle Covachuelas, San Andrés, Madrid"
21553,,,"Paseo DE LAS MORERAS, San Andrés, Madrid"
21552,,,"Calle Huerta de Villaverde, San Andrés, Madrid"
21549,,,"Calle COLONIA BUTANO, San Andrés, Madrid"
21545,,,"Calle Puerto Lápice, San Andrés, Madrid"
21538,,,"Calle de Juan Peñalver, San Andrés, Madrid"
21528,,,"Paseo de alberto palacios, San Andrés, Madrid"
21524,,,"Calle Benimamet, San Cristóbal, Madrid"
21522,,,"Calle Principal, 16, San Andrés, Madrid"
21521,,,"Calle Transversal Sexta, 10, San Andrés, Madrid"
21520,,,"Calle de Beniferri, San Cristóbal, Madrid"
21519,,,"Calle Hermandad de Donantes de Sangre, 1, Los Ángeles, Madrid"
21516,,,"Avenida VERBENA DE LA PALOMA, 17, Los Ángeles, Madrid"
21514,,,"Calle de Sáhara, 83, Los Rosales, Madrid"
21512,,,"Calle Antimonio, 7, San Andrés, Madrid"
21511,,,"Calle Eduardo Barreiros, 128, Los Ángeles, Madrid"
21509,,,"Calle María Barrientos, 4, Los Rosales, Madrid"
21506,,,"Calle de Beniferri, 63, San Cristóbal, Madrid"
21503,,,"Calle Santa Florencia, 15, Los Rosales, Madrid"
21497,,,"Calle del Bismuto, 1, San Andrés, Madrid"
21495,,,"Calle de Gregorio Ortiz, 31, San Andrés, Madrid"
21481,,,"Calle el Huésped del Sevillano, Madrid, Los Ángeles, Madrid"
21480,,,"Calle Magnesia, 12 , bis, San Andrés, Madrid"
21479,,,"Calle del Talco, 85, San Andrés, Madrid"
21471,,,"Calle de Sáhara, 89, Los Rosales, Madrid"
21470,,,"Urb. privada, Villaverde, Madrid"
21469,,,"COBALTO, 22, San Andrés, Madrid"
21468,,,"Avenida REAL DE PINTO, 41, San Andrés, Madrid"
21467,,,"Calle María de Echarri, Los Rosales, Madrid"
21466,,,"Calle Villastar, San Andrés, Madrid"
21465,,,"transversal sexta, 1, San Andrés, Madrid"
21464,,,"Urb. Calle de Burjasot, Villaverde, Madrid"
21462,,,"Gigante y Cabezudo, 70, Los Ángeles, Madrid"
21460,,,"Calle Doctor Pérez Domínguez s/n, San Andrés, Madrid"
21458,,,"Calle José del Pino Jiménez, San Andrés, Madrid"
21457,,,"Magnesia, 18, San Andrés, Madrid"
21455,,,"Calle la Canción del Olvido, Los Ángeles, Madrid"
21453,,,"Urb. Los Angeles, Villaverde, Madrid"
21448,,,"Calle la Canción del Olvido, 43, Los Ángeles, Madrid"
21444,,,"Calle de San Neviano, 1, San Andrés, Madrid"
21441,,,"Calle Salsipuedes, 25, San Andrés, Madrid"
21438,,,"Urb. Platino, Villaverde, Madrid"
21435,,,"Calle del Grafito, Madrid, San Andrés, Madrid"
21429,,,"Calle Encarnación Oviol s/n, Los Rosales, Madrid"
21428,,,"Calle del Cobalto, 17, San Andrés, Madrid"
21420,,,"cale concepcion de la oliva, Butarque, Madrid"
21419,,,"Paseo FERROVIARIOS, San Andrés, Madrid"
21418,,,"Calle de la Aladierna, San Andrés, Madrid"
21416,,,"Calle Villavendimio, 15, San Andrés, Madrid"
21415,,,"Calle de Albino Hernández Lázaro, San Andrés, Madrid"
21414,,,"Calle la Corte del Faraón, Los Ángeles, Madrid"
21410,,,"Calle Acebes, 2, San Andrés, Madrid"
21408,,,"Calle Doctor Pérez Domínguez, 6, San Andrés, Madrid"
21407,,,"Calle Lagunas de Neila, 20, San Andrés, Madrid"
21406,,,"Calle Emilia Ballester, 13, San Andrés, Madrid"
21405,,,"Paseo Talleres, 14 , 1ºA, Los Ángeles, Madrid"
21404,,,"Calle Diamante, 68, Los Rosales, Madrid"
21403,,,"Calle Emilia Ballester, 18, San Andrés, Madrid"
21391,,,"Calle Doctor Criado, Madrid, 6, San Andrés, Madrid"
21389,,,"Calle Moncada, 115, San Cristóbal, Madrid"
21387,,,"Calle Plantino, 25, Los Rosales, Madrid"
21384,,,"Calle del Arroyo Bueno, 43, San Andrés, Madrid"
21382,,,"Calle maría martínez oviol, 11, Los Rosales, Madrid"
21380,,,"Calle Huerta de Villaverde, 20, San Andrés, Madrid"
21379,,,"Calle Transversal Sexta, 2, San Andrés, Madrid"
21377,,,"Calle Amadeo Fernández, 2, San Andrés, Madrid"
21372,,,"Calle de Beniferri, 12, San Cristóbal, Madrid"
21371,,,"Calle Lenguas, 12, San Andrés, Madrid"
21367,,,"Calle Emilia Ballester, 48, San Andrés, Madrid"
21364,,,"Calle Calamina, 16, San Andrés, Madrid"
21361,,,"Calle Talco, 12, San Andrés, Madrid"
21359,,,"Calle Lenguas, 22, San Andrés, Madrid"
21358,,,"Calle Sulfato, 22, San Andrés, Madrid"
21357,,,"Calle Magnesia, 14, San Andrés, Madrid"
21356,,,"Calle del Cobalto, 14, San Andrés, Madrid"
21352,,,"Calle Intermedia Norte, 18, San Andrés, Madrid"
21342,,,"Calle Gilena, 9, San Andrés, Madrid"
21340,,,"Alto Villaverde s/n, San Andrés, Madrid"
21338,,,"Plaza Ágata, 11, San Andrés, Madrid"
21334,,,"Calle Transversal Sexta, 24, San Andrés, Madrid"
21333,,,"Calle Alegría de la Huerta, 10, Los Ángeles, Madrid"
21330,,,"Calle de Juan Peñalver, 8, San Andrés, Madrid"
21328,,,"Calle Potes, 9, San Andrés, Madrid"
21327,,,"Calle Doña Francisquita, 5, Los Ángeles, Madrid"
21326,,,"Calle Huerta de Villaverde, 22, San Andrés, Madrid"
21323,,,"Calle Lenguas, 11, San Andrés, Madrid"
21320,,,"Calle Potes, San Andrés, Madrid"
21318,,,"Calle Villajoyosa, 65, Los Rosales, Madrid"
21317,,,"Calle Transversal Sexta, 1, San Andrés, Madrid"
21315,,,"Calle Parvillas Altas, 15, San Andrés, Madrid"
21311,,,"Calle María de Echarri, 1, Los Rosales, Madrid"
21309,,,"Calle Moncada, 109, San Cristóbal, Madrid"
21306,,,"Calle Potes, 5, San Andrés, Madrid"
21301,,,"Calle Moncada, 107, San Cristóbal, Madrid"
21300,,,"Calle Manola y Rosario, 1, San Andrés, Madrid"
