id,latitude,longitude,address
21742,40.3445124,-3.6894412,"Calle de Godella, 64, San Cristóbal, Madrid"
21741,40.3538503,-3.6983625,"Calle de la del Manojo de Rosas, Los Ángeles, Madrid"
21740,,,"Calle del Talco, 68, San Andrés, Madrid"
21739,,,"Calle Pedro Jiménez, San Andrés, Madrid"
21738,40.3533802,-3.6901152,"Carretera de Villaverde a Vallecas, Los Rosales, Madrid"
21737,,,"geologia, San Andrés, Madrid"
21736,,,"Avenida Real de Pinto, San Andrés, Madrid"
21733,40.3532352,-3.6899154,"Calle de Martinez Oviol, Los Rosales, Madrid"
21732,,,"De la Plata - Villaverde, San Andrés, Madrid"
21730,40.3613894,-3.6894222,"Calle de la Unanimidad, 67, Los Rosales, Madrid"
21729,40.35101745,-3.701777508622853,"Calle de Anoeta, 63, Los Ángeles, Madrid"
21728,,,"Calle GODELLA, San Cristóbal, Madrid"
21727,40.3528454,-3.6894826,"Calle San Macario, Los Rosales, Madrid"
21719,40.2851537,-3.7934286,"Camino Leganés, San Andrés, Madrid"
21718,,,"Calle de las Islas, San Andrés, Madrid"
21717,,,"Calle de Parvillas Bajas, San Andrés, Madrid"
21716,,,"COBALTO s/n, San Andrés, Madrid"
21714,40.3533128,-3.6909843,"Calle Villajoyosa, Los Rosales, Madrid"
21713,,,"Paseo de Alberto Palacios, San Andrés, Madrid"
21712,,,"Calle Laguna del Marquesado, San Andrés, Madrid"
21708,40.3540323,-3.6816541,"Concepción de la Oliva, 21, Butarque, Madrid"
21707,,,"San Neviano - Villaverde, San Andrés, Madrid"
21704,40.3545402,-3.6943774,"Calle la Dolorosa, Los Ángeles, Madrid"
21703,40.350523,-3.6877894,"Calle Encarnación Oviol, Los Rosales, Madrid"
21702,40.34903,-3.6760582,"Calle ESTEFANITA, Butarque, Madrid"
21700,40.338156,-3.679459,"Calle Arroyo de la Bulera, 31, Butarque, Madrid"
21697,40.3389062,-3.6772808,"Villaverde a perales, Butarque, Madrid"
21696,40.3516949,-3.6886659,"Calle de Juan José Martínez Seco, Los Rosales, Madrid"
21694,,,"Calle la del Soto del Parral, 59, Los Ángeles, Madrid"
21693,40.34903,-3.6760582,"Calle Estefanita, 6, Butarque, Madrid"
21692,40.3376362,-3.6755232,"Calle Berrocal, Butarque, Madrid"
21691,40.3560432,-3.6820183,"Calle Euskalduna, 14, Butarque, Madrid"
21689,40.3492523,-3.6991973,"Calle Alcocer, Los Ángeles, Madrid"
21687,40.3499666,-3.6855347,"Calle Topacio, Los Rosales, Madrid"
21686,40.350704,-3.6791499,"Calle Calcio, 15, Butarque, Madrid"
21685,40.3408421,-3.6773645,"Calle Camas, 2, Butarque, Madrid"
21671,40.3384998,-3.6764999,"Calle Ganados del Salobral , 12, Butarque, Madrid"
21663,,,"Calle Parvillas Altas s/n, San Andrés, Madrid"
21657,,,"Calle Emilia Ballester, Madrid, 15, San Andrés, Madrid"
21655,40.3474954,-3.6903199,"Calle del Estroncio, Los Rosales, Madrid"
21654,40.3412702,-3.692492,"Calle Moncada, San Cristóbal, Madrid"
21649,40.3600535,-3.6854073,"Calle de la Generosidad, 16, Los Rosales, Madrid"
21648,,,"Calle de Tordegrillos, San Andrés, Madrid"
21647,40.3613252,-3.6941562,"Avenida de la Verbena de la Paloma, Los Ángeles, Madrid"
21646,,,"Paseo Alberto Palacios, 35, San Andrés, Madrid"
21645,,,"Calle Doctor Pérez Domínguez, 2, San Andrés, Madrid"
21643,,,"Calle de los Cacereños, San Andrés, Madrid"
21642,40.3537243,-3.6856109,"Calle de Campos Ibáñez, Los Rosales, Madrid"
21641,40.3513,-3.6863925,"Calle DIAMANTE, Los Rosales, Madrid"
21640,,,"Calle Transversal Sexta, San Andrés, Madrid"
21639,40.3460197,-3.6769863,"Calle Canchal, Butarque, Madrid"
21638,40.3513,-3.6863925,"Calle Diamante, Los Rosales, Madrid"
21637,40.3489871,-3.6891362,"Calle Platino, Los Rosales, Madrid"
21636,,,"Calle Gómez Acebo, San Andrés, Madrid"
21635,,,"Calle Pilar Lorengar, Los Rosales, Madrid"
21634,,,"Calle Salsipuedes, San Andrés, Madrid"
21633,40.3588683,-3.6899793,"Avenida de la Felicidad, Los Rosales, Madrid"
21632,40.351882,-3.6949633,"Calle Escoriaza, Los Ángeles, Madrid"
21626,,,"Calle de las Viñas del Rio, 16, Butarque, Madrid"
21614,40.3507539,-3.701507908925282,"Calle Anoeta, 59, Los Ángeles, Madrid"
21613,,,"Calle de Sáhara, Los Rosales, Madrid"
21612,,,"Calle Alcocer, 39, Los Ángeles, Madrid"
21611,,,"Calle Nuestra Señora de Begoña s/n, San Andrés, Madrid"
21608,40.3389062,-3.6772808,"Villaverde a Perales, Butarque, Madrid"
21607,40.3389062,-3.6772808,"villaverde a perales, Butarque, Madrid"
21603,,,"Paseo de Alberto Palacios, Madrid, 86, San Andrés, Madrid"
21602,40.3441954,-3.6750091,"Calle Limonita, 5, Butarque, Madrid"
21601,40.3570425,-3.685489,"Calle Flora Tristán, 1, Los Rosales, Madrid"
21600,40.3484649,-3.6886982,"EDUARDO MINGUITO, Los Rosales, Madrid"
21599,40.34903,-3.6760582,"Calle Estefanita, Butarque, Madrid"
21598,,,"Calle Emilia Ballester, San Andrés, Madrid"
21597,,,"Calle La Pícara Molinera esquina C/ El Caserío s/n, Los Ángeles, Madrid"
21592,,,"Calle María de Echarri, 11, Los Rosales, Madrid"
21591,,,"Calle San Jenaro esquina Calle Alcocer, 1, San Andrés, Madrid"
21585,40.3389062,-3.6772808,"villaverde a perales s/n, Butarque, Madrid"
21584,40.3412702,-3.692492,"Calle MONCADA, San Cristóbal, Madrid"
21582,40.3412012,-3.6848013,"Calle de Paterna, San Cristóbal, Madrid"
21581,40.3560432,-3.6820183,"Calle Euskalduna, Butarque, Madrid"
21580,,,"Calle Lenguas, San Andrés, Madrid"
21579,,,"Calle Huerta de villaverde, San Andrés, Madrid"
21578,,,"Plaza de Gómez Acebo, San Andrés, Madrid"
21577,40.3570991,-3.6841334,"Calle Augustóbriga, 5, Los Rosales, Madrid"
21576,40.3486538,-3.6846931,"Benimamet, San Cristóbal, Madrid"
21575,40.350704,-3.6791499,"Calle Calcio, 20, Butarque, Madrid"
21574,40.3484649,-3.6886982,"Calle Eduardo Minguito, Los Rosales, Madrid"
21573,40.3570425,-3.685489,"Calle Flora Tristán, 10, Los Rosales, Madrid"
21572,,,"Calle Lenguas, 18 B, San Andrés, Madrid"
21558,,,"Calle tordegrillos, San Andrés, Madrid"
21557,40.3570991,-3.6841334,"Calle Augustóbriga, Los Rosales, Madrid"
21556,,,"Calle Covachuelas, San Andrés, Madrid"
21555,40.3540323,-3.6816541,"Calle Concepción de la Oliva, Butarque, Madrid"
21554,40.3376362,-3.6755232,"Calle de Berrocal, Butarque, Madrid"
21553,,,"Paseo DE LAS MORERAS, San Andrés, Madrid"
21552,,,"Calle Huerta de Villaverde, San Andrés, Madrid"
21550,40.3425833,-3.6883594,"GODELLA, San Cristóbal, Madrid"
21549,,,"Calle COLONIA BUTANO, San Andrés, Madrid"
21548,40.3584213,-3.6829116,"María de Echarri, Los Rosales, Madrid"
21547,40.3535606,-3.6847453,"Calle Fuente de la Capona, Los Rosales, Madrid"
21546,40.3545782,-3.695308,"Calle de la Alegría de la Huerta, Los Ángeles, Madrid"
21545,,,"Calle Puerto Lápice, San Andrés, Madrid"
21540,40.3525553,-3.6811527,"Calle Tántalo, Butarque, Madrid"
21538,,,"Calle de Juan Peñalver, San Andrés, Madrid"
21536,40.3422441,-3.6858806,"Rocafort, San Cristóbal, Madrid"
21533,40.3568726,-3.7037572,"Calle de Eduardo Barreiros, Los Ángeles, Madrid"
